id,age,sex,edu,polviews_10,issue,type,opinion,mf,value
193,21,Male,3,5,amownway,against,0,Harm,1
110,28,Female,3,6,amownway,against,0,Harm,1
126,27,Female,8,2,mincult,against,0,Harm,0
25,22,Female,3,4,mincult,against,0,Harm,0
31,21,Female,4,7,mincult,against,0,Harm,0
12,20,Female,3,5,mincult,against,0,Harm,0
58,25,Male,4,3,mincult,against,0,Harm,0
33,23,Female,4,6,mincult,against,0,Harm,0
135,26,Female,7,2,mincult,against,0,Harm,0
130,49,Male,7,4,mincult,against,0,Harm,0
211,28,Male,4,3,abany,against,0,Harm,0
77,18,Male,3,5,abany,against,0,Harm,0
7,30,Female,7,4,abany,against,0,Harm,1
204,25,Female,8,5,abany,against,0,Harm,0
15,22,Male,3,4,abany,against,0,Harm,1
8,27,Female,7,4,abany,against,0,Harm,1
163,25,Male,6,7,abany,against,0,Harm,0
33,23,Female,4,6,abany,against,0,Harm,0
135,26,Female,7,2,abany,against,0,Harm,0
120,27,Female,7,5,abany,against,0,Harm,0
169,18,Male,2,0,abany,against,0,Harm,0
49,29,Female,3,2,abany,against,0,Harm,1
51,23,Female,7,3,abany,against,0,Harm,1
214,44,Female,8,0,abany,against,0,Harm,1
70,23,Female,4,7,abany,against,0,Harm,0
99,24,Female,7,0,absingle,against,0,Harm,0
1,27,Female,7,8,absingle,against,0,Harm,0
24,34,Male,7,8,absingle,against,0,Harm,0
9,37,Female,7,2,absingle,against,0,Harm,0
56,30,Female,7,9,absingle,against,0,Harm,1
8,27,Female,7,4,absingle,against,0,Harm,1
139,35,Female,7,5,absingle,against,0,Harm,0
194,51,Female,4,4,absingle,against,0,Harm,0
63,30,Male,4,4,absingle,against,0,Harm,0
33,23,Female,4,6,absingle,against,0,Harm,1
120,27,Female,7,5,absingle,against,0,Harm,0
49,29,Female,3,2,absingle,against,0,Harm,1
217,23,Female,4,3,absingle,against,0,Harm,0
178,18,Male,3,2,absingle,against,0,Harm,0
154,28,Male,4,2,absingle,against,0,Harm,0
34,37,Male,7,8,abpoor,against,0,Harm,1
39,50,Female,10,8,abpoor,against,0,Harm,1
106,28,Male,7,6,abpoor,against,0,Harm,0
164,33,Male,8,6,abpoor,against,0,Harm,0
187,44,Male,6,5,abpoor,against,0,Harm,1
67,25,Female,3,5,abpoor,against,0,Harm,1
200,28,Female,7,7,abpoor,against,0,Harm,1
8,27,Female,7,4,abpoor,against,0,Harm,1
195,21,Female,3,2,abpoor,against,0,Harm,0
63,30,Male,4,4,abpoor,against,0,Harm,0
221,51,Female,7,7,abpoor,against,0,Harm,0
29,22,Male,3,4,abpoor,against,0,Harm,0
142,25,Female,7,3,abpoor,against,0,Harm,1
120,27,Female,7,5,abpoor,against,0,Harm,1
168,20,Female,7,5,abpoor,against,0,Harm,1
217,23,Female,4,3,abpoor,against,0,Harm,0
16,18,Male,3,4,abpoor,against,0,Harm,0
39,50,Female,10,8,abdefect,against,0,Harm,0
22,42,Female,10,5,abdefect,against,0,Harm,0
1,27,Female,7,8,abdefect,against,0,Harm,1
